antworten;answer;απαντάω;απαντώ;απανταω;απαντω;;;
arbeiten;εργάζομαι;εργαζομαι;work;;;;;
bekommen;receive;παίρνω;λαμβάνω;παιρνω;λαμβανω;;;
bieten;προσφέρω;προσφερω;offer;;;;;
buchstabieren;συλλαβίζω;συλλαβιζω;spell;;;;;
entscheiden;αποφασίζω;αποφασιζω;decide;;;;;
entschuldigen;συγχωρώ;συγχωρω;forgive;excuse;;;;
fahren;πηγαίνω;ταξιδεύω;πηγαινω;ταξιδευω;travel;;;
fragen;ρωτάω;ρωτώ;ρωταω;ρωτω;ask;;;
funktionieren;λειτουργώ;λειτουργω;function;work;;;;
gehen;πηγαίνω με τα πόδια;περπατώ;πηγαινω με τα ποδια;περπατω;go;travel on foot;walk;
haben;έχω;εχω;have;;;;;
heissen;ονομάζομαι;ονομαζομαι;be named;;;;;
hören;ακούω;ακουω;hear;;;;;
kommen;έρχομαι;προέρχομαι;κατάγομαι;ερχομαι;προερχομαι;καταγομαι;come;come from
können;μπορώ;μπορω;can;be able to;;;;
korrigieren;διορθώνω;διορθωνω;correct;;;;;
kosten;κοστίζω;κοστιζω;cost;;;;;
leben;ζω;live;;;;;;
lernen;μαθαίνω;μαθαινω;learn;;;;;
machen;κάνω;κανω;do;;;;;
meinen;νομίζω;πιστεύω;νομιζω;πιστευω;think;believe;;
möchten;θα ήθελα;θα ηθελα;would like;;;;;
reisen;ταξιδεύω;ταξιδευω;travel;;;;;
sagen;λέω;λεω;say;;;;;
schreiden;γράφω;γραφω;write;;;;;
sein;είμαι;ειμαι;be;;;;;
spielen;παίζω;παιζω;play;;;;;
sprechen;μιλάω;μιλώ;μιλαω;μιλω;speak;;;
spülen;ξεπλένω;ξεπλενω;rinse;wash off;;;;
stimmen;συμφωνώ;συμφωνω;agree;;;;;
studieren;σπουδάζω;σπουδαζω;study;;;;;
warten;περιμένω;περιμενω;wait;;;;;
waschen;πλένω;πλενω;wash;;;;;
wechseln;αλλάζω;change;;;;;;
werden;γίνομαι;γινομαι;become;;;;;
wohnen;κατοικώ;μένω;κατοικω;μενω;reside;live;;
